,country_name,Level 1 Name,Area,Area ID,Analysis Name,Date of Analysis,estimated_population,overall_phase,Analysis Period,phase1_pop,phase1_perc,phase2_pop,phase2_perc,phase3_pop,phase3_perc,phase4_pop,phase4_perc,phase5_pop,phase5_perc,phase3plus_pop,phase3plus_perc,yearmon,year,yearmon_end,yearmon_analysis,phase5plus_perc,phase4plus_perc,phase2plus_perc,phase1plus_perc
0,Afghanistan,,Badakhshan,63066283,Acute Food Insecurity October 2023,Oct 2023,1056006,3.0,Oct 2023 - Oct 2023,264002,0.25,369602,0.35,316802,0.3,105601,0.1,0.0,0.0,422403,0.0,2023-10,2023,2023-10,2023-10,0.0,0.0,0.0,0.0
1,Afghanistan,,Badghis,63066217,Acute Food Insecurity October 2023,Oct 2023,738918,3.0,Oct 2023 - Oct 2023,147784,0.2,221675,0.3,295567,0.4,73892,0.1,0.0,0.0,369459,0.0,2023-10,2023,2023-10,2023-10,0.0,0.0,0.0,0.0
2,Afghanistan,,Baghlan,63066261,Acute Food Insecurity October 2023,Oct 2023,1114424,3.0,Oct 2023 - Oct 2023,278606,0.25,501491,0.45,278606,0.25,55721,0.05,0.0,0.0,334327,0.0,2023-10,2023,2023-10,2023-10,0.0,0.0,0.0,0.0
3,Afghanistan,,Baghlan Urban,63066241,Acute Food Insecurity October 2023,Oct 2023,164806,3.0,Oct 2023 - Oct 2023,65922,0.4,57682,0.35,32961,0.2,8240,0.05,0.0,0.0,41201,0.0,2023-10,2023,2023-10,2023-10,0.0,0.0,0.0,0.0
4,Afghanistan,,Balkh,63066205,Acute Food Insecurity October 2023,Oct 2023,1277317,3.0,Oct 2023 - Oct 2023,319329,0.25,574793,0.45,383195,0.3,0,0.0,0.0,0.0,383195,0.0,2023-10,2023,2023-10,2023-10,0.0,0.0,0.0,0.0
5,Afghanistan,,Balkh Urban,63066265,Acute Food Insecurity October 2023,Oct 2023,1065272,3.0,Oct 2023 - Oct 2023,319582,0.3,426109,0.4,319582,0.3,0,0.0,0.0,0.0,319582,0.0,2023-10,2023,2023-10,2023-10,0.0,0.0,0.0,0.0
6,Afghanistan,,Bamyan,63066223,Acute Food Insecurity October 2023,Oct 2023,409703,3.0,Oct 2023 - Oct 2023,102426,0.25,204852,0.5,102426,0.25,0,0.0,0.0,0.0,102426,0.0,2023-10,2023,2023-10,2023-10,0.0,0.0,0.0,0.0
7,Afghanistan,,Daykundi,63066245,Acute Food Insecurity October 2023,Oct 2023,434874,3.0,Oct 2023 - Oct 2023,86975,0.2,173950,0.4,130462,0.3,43487,0.1,0.0,0.0,173949,0.0,2023-10,2023,2023-10,2023-10,0.0,0.0,0.0,0.0
8,Afghanistan,,Farah,63066215,Acute Food Insecurity October 2023,Oct 2023,800471,3.0,Oct 2023 - Oct 2023,240141,0.3,280165,0.35,240141,0.3,40024,0.05,0.0,0.0,280165,0.0,2023-10,2023,2023-10,2023-10,0.0,0.0,0.0,0.0
9,Afghanistan,,Faryab,63066225,Acute Food Insecurity October 2023,Oct 2023,1386310,3.0,Oct 2023 - Oct 2023,346578,0.25,554524,0.4,346578,0.25,138631,0.1,0.0,0.0,485209,0.0,2023-10,2023,2023-10,2023-10,0.0,0.0,0.0,0.0
